Professor,ClassNum,CatalogNum,Title,Days,Time,Location
Marjan Asadinia,16584,COMP 620,Computer System Architecture,Tu,07:00 PM - 09:45 PM,JD3508
Marjan Asadinia,16548,COMP 621,Computer System Architecture,Tu,03:00 PM - 05:45 PM,JD3508
Marjan Asadinia,16642,COMP 680	,Advanced Topics in Software Engineering,Th,07:00 PM - 09:45 PM,ONLINE
Kyle Dewey,16390,COMP 333,Concepts of Programming Languages,MoWe,02:00 PM - 03:15 PM,SG109
Kyle Dewey,16487,COMP 334,Concepts of Programming Languages,MoWe,09:30 AM - 10:45 AM,SG109
Kyle Dewey,16464,COMP 430,Language Design and Compilers,MoWe,11:00 AM - 12:15 PM,SG101
Mahdi Ebrahimi,16558,COMP 440,Database Design,Fr,10:30 AM - 01:15 PM,ONLINE
Rashida Hasan,16634,COMP 542,MACHINE LEARNING,Th,11:00 AM - 01:45 PM,JD3508
Rashida Hasan,16529,COMP 542,MACHINE LEARNING,Tu,11:00 AM - 01:45 PM,JD3508
Wen-Chin(Amy) Hsu,15990,COMP 282,Advanced Data Structures,MoWe,02:00 PM - 03:15 PM,JD3520
Wen-Chin(Amy) Hsu,15784,COMP 282,Advanced Data Structures,MoWe,11:00 AM - 12:15 PM,ONLINE
Wen-Chin(Amy) Hsu,15784,COMP 283,Advanced Data Structures,We,11:00 AM - 12:15 PM,JD2520
Wen-Chin(Amy) Hsu,16585,COMP 282,Advanced Data Structures,Fr,10:00 AM - 12:45 PM,JD3520
Wen-Chin(Amy) Hsu,16555,COMP 542,MACHINE LEARNING,MoWe,03:30 PM - 04:45 PM,JD3520
Maryam Jalali,16470,COMP 110,Introduction to Algorithms and Programming,TuTh,02:00 PM - 03:15 PM,ONLINE
Maryam Jalali,16475,COMP 110L,Introduction to Algorithms and Programming Lab,Fr,09:30 AM - 12:15 PM,ONLINE
Maryam Jalali,16474,COMP 110L,Introduction to Algorithms and Programming Lab,TuTh,03:30 PM - 04:45 PM,ONLINE
Maryam Jalali,16405,COMP 482,ALGORITHM DESIGN,TuTh,11:00 AM - 12:15 PM,JD1107
Maryam Jalali,16404,COMP 482,ALGORITHM DESIGN,TuTh,09:30 AM - 10:45 AM,JD1105
"Jiang, Xunfei",20417,COMP 491,SR PROJECT II,TuTh,09:30 AM - 10:20 AM,ONLINE
"Jiang, Xunfei",20426,COMP 491L,Senior Project Lab,TuTh,10:30 AM - 11:45 AM,ONLINE
Li Liu,20419,COMP 491,SR PROJECT II,MoWe,10:00 AM - 10:50 AM,JD2213
Li Liu,20428,COMP 491L,Senior Project Lab,MoWe,11:00 AM - 12:15 PM,JD2213
Robert D McIlhenny,16552,COMP 322,Introduction to Operating Systems and System Architecture,TuTh,07:00 PM - 08:15 PM,JD2216
Robert D McIlhenny,16421,COMP 322L,Introduction to Operating Systems and System Architecture Lab,TuTh,08:30 PM - 09:45 PM,JD2216
Katya Mkrtchyan,16388,COMP 256,Discrete Structures for Computer Science,TuTh,09:30 AM - 10:45 AM,ONLINE
Katya Mkrtchyan,16389,COMP 256L,Discrete Structures for Computer Science Lab,TuTh,11:00 AM - 12:15 PM,ONLINE
Katya Mkrtchyan,16008,COMP 310,"Automata, Languages, and Computation",MoWe,11:00 AM - 12:15 PM,JD3508
Katya Mkrtchyan,15785,COMP 310,"Automata, Languages, and Computation",MoWe,09:30 AM - 10:45 AM,JD3508
Alex Modarresi,20418,COMP 491,SR PROJECT II,MoWe,01:00 PM - 01:50 PM,JD2217
Alex Modarresi,20415,COMP 491,SR PROJECT II,MoWe,10:00 AM - 10:50 AM,JD2221
Alex Modarresi,20427,COMP 491L,Senior Project Lab,MoWe,02:00 PM - 03:15 PM,JD2217
Alex Modarresi,20424,COMP 491L,Senior Project Lab,MoWe,11:00 AM - 12:15 PM,JD2221
John Noga,16565,COMP 310,"Automata, Languages, and Computation",TuTh,11:00 AM - 12:15 PM,JD1618
John Noga,16485,COMP 482,ALGORITHM DESIGN,Fr,03:30 PM - 06:15 PM,JD2221
John Noga,15794,COMP 610,Data Structures and Algorithms,Fr,09:30 AM - 12:15 PM,JD2217
Abhishek Verma,15789,COMP 380,Introduction to Software Engineering,MoWe,02:00 PM - 02:50 PM,JD1104
Abhishek Verma,16121,COMP 380,Introduction to Software Engineering,MoWe,05:00 PM - 05:50 PM,JD1104
Abhishek Verma,15787,COMP 380,Introduction to Software Engineering,TuTh,02:00 PM - 02:50 PM,JD2213
Abhishek Verma,16122,COMP 380L,Introduction to Software Engineering Lab,MoWe,06:00 PM - 07:15 PM,JD1104
Abhishek Verma,15788,COMP 380L,Introduction to Software Engineering Lab,TuTh,03:00 PM - 04:15 PM,JD2213
Abhishek Verma,15790,COMP 380L,Introduction to Software Engineering Lab,MoWe,03:00 PM - 04:15 PM,JD1104
Jeff Wiegley,20416,COMP 491,SR PROJECT II,TuTh,02:00 PM - 02:50 PM,JD2217
Jeff Wiegley,20420,COMP 491,SR PROJECT II,TuTh,10:00 AM - 10:50 AM,JD2217
Jeff Wiegley,20429,COMP 491L,Senior Project Lab,TuTh,11:00 AM - 12:15 PM,JD2217
Jeff Wiegley,20425,COMP 491L,Senior Project Lab,TuTh,03:00 PM - 04:15 PM,JD2217
Jeff Wiegley,15862,COMP 522,EMBEDDED APPS,Fr,10:00 AM - 12:45 PM,ONLINE
Mohammed Abdelrahim,20849,COMP 485,Human-Computer Interaction,Fr,07:00 PM - 09:45 PM,JD2221
Mohammed Abdelrahim,16411,COMP 486,Human-Computer Interaction,Sa,11:00 AM - 01:45 PM,JD2221
Mohammed Abdelrahim,15792,COMP 487,Human-Computer Interaction,Sa,08:00 AM - 10:45 AM,JD2216
Samuel Addington,16313,COMP 122,Computer Architecture and Assembly Language,Sa,10:00 AM - 12:45 PM,JD2217
Samuel Addington,16316,COMP 122L,Computer Architecture and Assembly Language Lab,Sa,02:00 PM - 04:45 PM,JD2217
Afshin Amini,16118,COMP 122,Computer Architecture and Assembly Language,TuTh,09:30 AM - 10:45 AM,ONLINE
Afshin Amini,16120,COMP 122L,Computer Architecture and Assembly Language Lab,TuTh,11:00 AM - 12:15 PM,ONLINE
Afshin Amini,20422,COMP 491,SR PROJECT II,TuTh,02:00 PM - 02:50 PM,JD2216
Afshin Amini,20421,COMP 491,SR PROJECT II,MoWe,10:00 AM - 10:50 AM,JD2216
Afshin Amini,20430,COMP 491L,Senior Project Lab,MoWe,11:00 AM - 12:15 PM,JD2216
Afshin Amini,20431,COMP 491L,Senior Project Lab,TuTh,03:00 PM - 04:15 PM,JD2216
Sevak Asadorian,15779,COMP 182,Data Structures and Program Design,Sa,10:00 AM - 12:45 PM,ONLINE
Sevak Asadorian,15780,COMP 182L,Data Structures and Program Design Lab,Sa,02:00 PM - 04:45 PM,ONLINE
